customer_id,credit_score,age,balance,products_number,credit_card,active_member,estimated_salary,tenure,churn
95,379,34,222454.43766138342,4,1,0,34432.19644365189,6,0
96,302,63,73155.5989593545,2,1,0,37094.04578354601,5,0
97,596,58,223834.55591042445,3,0,1,122273.63603869863,3,0
98,847,32,131053.10580689686,4,0,1,85682.97074657289,4,0
99,509,85,78961.9592330385,2,0,1,35871.67744330529,2,0
100,778,31,131638.498303442,4,1,0,21601.221892565376,8,0
101,648,81,192133.0253650505,1,1,0,122286.3954981845,9,0
102,557,71,183376.02054459052,4,1,0,20863.29109238019,9,0
103,420,45,123509.06785401056,4,0,1,91641.23289307066,4,0
104,560,38,119198.5965193847,3,0,0,120515.22341084908,9,0
105,736,86,53673.6441912061,1,1,0,138085.85403084377,9,0
106,595,58,73881.31294695221,2,0,0,81466.03149109308,8,0
107,754,18,51480.63636960204,3,0,1,54628.75647933478,8,0
108,569,21,204782.7142258787,1,1,0,139010.4574671433,4,0
109,423,27,11097.994520807897,4,0,0,27553.304126579846,6,0
110,574,30,187030.10333387504,1,1,0,106789.33640649164,3,0
111,305,82,135679.48216835104,2,0,1,95980.68281850472,3,0
112,487,23,178416.9384933997,4,0,0,55769.24797055717,6,0
113,370,59,182369.11103356813,2,0,0,55201.72698305562,7,0
114,392,38,145461.78284005952,1,0,1,128227.0522178901,2,1
115,657,79,100633.9311313655,1,0,1,92853.16089583143,2,1
116,411,28,13835.96315236521,2,0,1,48053.4474110578,4,0
117,356,56,136977.74297124674,2,1,0,32571.196728849794,3,0
118,834,80,236900.79208448037,3,1,0,135960.61214886315,4,0
119,717,41,57527.09070772935,3,1,0,134597.06810702395,1,0
120,775,18,60919.13172960892,2,1,1,135362.75746675726,6,0
121,651,42,245678.93585092117,3,1,0,128535.09977599913,9,0
122,795,39,19370.185021217818,4,0,0,59133.68855948888,7,0
123,456,40,54695.36149697113,3,1,1,133186.98299104656,7,0
124,646,31,144832.37855077078,1,1,1,75219.80306959344,6,0
125,575,57,178983.7773320333,4,1,1,144303.00344406365,6,0
126,774,43,96932.47047988218,2,0,1,101153.11325252666,2,0
127,418,88,19366.58028867444,1,0,1,75344.72101097048,4,1
128,318,38,154290.16075693496,4,0,1,42178.09350156234,9,0
129,451,72,118290.68438171523,4,0,0,78195.47357717162,9,0
130,753,62,6618.272771467148,2,0,1,54624.47227831965,5,0
131,592,73,221846.9587535744,4,1,0,132074.80531754356,6,0
132,785,41,212616.20023797697,1,1,0,130877.53326630697,7,0
133,760,23,199720.89534261703,3,1,1,149667.27688734516,5,0
134,815,72,113089.24144603458,3,0,0,145353.72164414183,7,0
135,460,71,246041.55377237097,3,1,1,65050.65825823604,6,0
136,405,61,98736.77082983476,2,1,0,87410.54681511981,4,0
137,572,55,239011.43967713683,1,1,0,93347.95974407843,3,0
138,689,76,166698.76968586678,2,0,1,36902.911734171306,8,0
139,369,44,153286.75478191095,2,0,1,145195.17663481875,9,0
140,376,27,113119.10914008602,2,0,0,64975.27385177428,1,0
141,715,52,188495.42696385278,2,0,0,53496.25307075521,7,0
142,495,79,214263.92381204027,2,0,1,71496.66826341266,7,0
143,485,28,181214.88982891667,3,0,1,104641.18451665285,2,0
144,808,65,176591.3545507925,1,1,0,86360.70618685239,9,0
145,633,48,166662.65204292227,4,0,0,22463.80236631511,1,0
146,841,27,32938.65772449478,3,1,1,130542.67421558317,2,0
147,720,81,127116.68678529603,3,1,0,109011.12740687799,4,0
148,580,70,121892.0963304623,4,1,0,66949.55914629395,4,0
149,610,25,237809.83240797583,1,0,0,139739.11749232272,5,0
150,446,18,148482.43210741165,3,0,1,36967.25617482924,7,0
151,643,26,231197.88413006897,1,0,1,36876.33238896907,1,0
152,469,31,140760.20930159558,4,0,0,52978.69217302622,9,0
153,747,35,122998.8678110213,4,1,0,100524.43492885903,4,0
154,802,37,72569.72747589515,4,1,1,35281.50880811155,5,0
155,406,65,158897.8096709853,2,1,0,117947.02287571962,1,1
156,572,42,56361.06807591515,1,1,1,125110.38455138468,8,0
157,551,51,130609.11956697948,4,0,0,68131.18386684844,2,0
158,435,54,55951.959126567475,2,0,0,35472.77802964741,4,0
159,611,85,75486.20100102454,2,0,0,65218.70667112649,6,0
160,817,44,94545.77537498307,2,0,0,35405.910720650485,7,0
161,657,78,110462.95100474842,2,0,0,140568.48833118024,4,0
162,476,84,152881.17730703484,2,1,0,133803.81703458572,9,0
163,543,80,20933.15956787603,4,0,0,64851.51902705553,8,0
164,385,86,52384.691071482914,3,1,0,116185.78443835185,4,0
165,839,65,107734.36314431178,2,0,1,110445.50532049613,2,0
166,385,43,134272.23389797445,3,0,0,118603.70653632413,3,0
167,534,59,94659.34139904681,4,0,1,63054.425933770486,6,0
168,743,80,221913.5030471865,3,1,0,62793.83211943419,8,0
169,607,87,173236.35890949707,4,0,1,121795.70689224494,1,0
170,497,26,71976.0154897457,1,1,0,88568.55007611673,1,1
171,732,36,240502.7519779386,1,1,0,61788.090269075146,3,0
172,604,56,174789.1427306837,1,1,0,111098.77999147661,4,0
173,657,84,93507.46385809583,2,1,0,45280.00354078555,9,0
174,451,55,214658.5781724629,4,1,0,133725.2818389847,6,0
175,396,22,197763.17754503063,3,1,1,93740.13898235104,2,0
176,423,29,174312.61360272436,1,0,0,77233.79468410948,6,0
177,848,25,182378.840071261,3,1,1,30658.768956819684,4,0
178,332,60,62976.59629046851,3,0,1,91287.50937732348,3,0
179,480,18,8078.1167133126,4,1,0,126884.50376238808,3,0
180,738,86,210391.11904302952,3,0,1,24163.63257033148,4,0
181,308,55,116428.30019217868,3,1,0,59447.6615373392,3,0
182,799,82,15207.138794207931,1,0,1,77852.91212169325,6,1
183,332,40,196235.45761175486,3,1,0,126259.85427652327,5,0
184,550,61,81028.4745282569,3,1,1,102329.25103188874,2,0
185,849,83,162758.08373568603,4,0,1,96310.07808333117,5,0
186,613,56,164390.50398225777,4,0,0,104278.81341423093,5,0
187,753,22,223311.7452405129,3,0,0,96693.90015089046,7,0
188,480,46,148612.92411454243,3,0,0,122388.32242835574,8,0
189,300,60,198007.92133039318,1,1,1,149285.57966572462,4,0
190,332,65,182554.3832163404,4,0,0,119223.90005818257,7,0
191,739,27,160991.30111359654,2,1,0,141691.02715183533,1,0
192,571,20,181256.22757282038,2,0,1,56097.72706249699,1,0
193,688,69,123575.38798063669,2,1,0,129873.18072604889,2,0
194,646,28,52575.588988809985,1,0,0,71745.97648724436,7,0
195,815,46,202428.95169459065,4,1,1,63957.49351534206,2,0
196,708,63,223811.685529228,3,0,0,55990.90055071666,6,0
197,759,24,193689.87214286535,3,1,1,96259.28130953733,8,0
198,750,65,177875.03352642324,2,1,0,143359.81367257674,1,0
199,639,46,106938.67321247375,4,0,0,61660.00685725272,6,0
200,650,52,114616.78826923038,2,1,1,79822.04669452237,4,0
201,500,56,137307.22111870287,2,0,1,127458.62605266407,6,0
202,498,23,114482.93609874685,2,0,1,115172.45515624511,9,0
203,837,51,163524.07477672526,4,1,1,69373.93317027096,8,0
204,611,74,79766.22899239651,1,0,1,143771.66608219978,8,0
205,514,58,59327.50710984519,2,0,0,32631.124194028358,5,0
206,794,25,218942.6630688797,4,1,0,135647.38264529203,6,0
207,552,25,99046.75435664668,1,1,0,21500.408930921883,5,0
208,758,24,77003.57868938982,2,0,1,94080.3169989216,7,0
209,424,49,153814.5943929724,4,1,1,70038.52637637104,5,0
210,527,87,223799.7937330891,3,0,0,103362.20708461913,6,0
211,768,84,17873.197168595674,2,0,0,35054.91771250757,5,0
212,606,22,50225.52622200738,2,1,0,102348.42301188102,5,0
213,416,83,209545.34715592634,2,1,1,109581.71153695692,6,0
214,809,60,248754.16659928355,1,1,0,66765.73368378548,2,0
215,753,38,122418.12701621599,2,1,1,71127.12199651923,5,0
216,673,26,96642.86247287618,4,0,1,80639.44896882123,8,0
217,584,47,57321.18479112996,1,1,1,102059.1768945106,8,0
218,378,60,132578.49211134796,2,1,0,74192.38656454798,2,0
219,774,83,166147.00642421187,4,0,1,63177.35969487536,1,0
220,429,22,95129.1119628803,1,0,0,66026.85810938483,7,0
221,324,71,70798.5081276472,2,1,1,78521.86811284904,6,0
222,332,78,47603.31113490782,4,0,1,52454.36709907185,1,1
223,726,36,201207.88656554912,2,0,0,32139.027164406318,8,0
224,523,43,175183.8438012805,2,1,0,28093.17937377197,2,0
225,758,42,20910.665210647272,1,1,0,38758.610700421,1,1
226,340,50,149050.04608849573,2,1,1,123576.20150771881,5,0
227,747,36,244770.53871614602,1,1,0,36608.8771710912,3,0
228,308,86,185810.65318085704,1,1,1,38946.675418451545,3,1
229,390,73,210815.26818355388,3,1,1,116292.86995142559,7,0
230,640,34,237656.41081813947,3,1,1,106057.2454660938,8,0
231,825,24,179669.4469160044,1,0,1,48222.469675246815,8,0
232,735,59,227846.0957379041,3,1,0,145116.74791399488,9,0
233,486,66,73381.69455293189,2,1,1,83525.88235694381,9,0
234,844,53,7877.399265660722,1,0,0,24387.617412493826,8,0
235,350,76,39220.63044066123,2,0,0,78103.63510671162,1,1
236,467,61,175304.4928245891,3,0,0,103564.07255120954,1,1
237,776,34,114031.27601194705,4,1,0,99699.0794305077,9,0
238,450,73,33310.453671731106,2,0,1,41443.865711527746,6,1
239,539,42,38663.47989175015,3,0,1,86697.32594450407,6,0
240,380,60,58475.619417388356,2,0,0,116737.14278756474,6,0
241,517,54,177060.944241975,4,1,0,115395.06996815733,1,0
242,669,81,3145.8388727866604,2,0,1,121302.5974628719,2,1
243,595,30,176781.25007590957,1,0,1,89204.45517221678,4,0
244,343,84,146448.2659150451,1,1,1,32614.656667180847,5,1
245,781,73,204134.92444529972,2,1,0,125833.24705579325,7,0
246,503,67,198790.86922043562,3,0,0,30886.7562438347,8,0
247,511,25,109980.86076483502,2,0,1,118100.1955834554,7,0
248,369,27,95681.58923921033,1,1,0,109140.39898242675,1,1
249,646,78,121924.00422373653,1,1,1,127106.95199287475,8,0
250,333,86,50451.82251865196,2,0,1,135365.59220793954,6,0
251,565,55,228813.00284992188,1,0,1,94565.93990230617,2,0
252,658,77,99693.89134780485,4,0,0,79351.2445622564,2,0
253,333,58,111769.70113815826,3,1,1,24053.764799331224,5,0
254,834,68,231113.265249109,4,1,1,86296.51595427173,4,0
255,314,84,202137.46802848275,3,1,0,149440.1488674366,1,1
256,516,70,224300.55346728017,4,0,1,114389.71548468643,1,0
257,554,71,63852.75835945689,4,0,0,34494.586703355155,1,0
258,585,87,23339.660703318386,2,1,1,29988.13691721804,7,0
259,665,34,171527.96862551555,1,0,0,21879.46869047901,1,0
260,747,44,3653.5484208239377,3,0,0,125101.00239962363,9,0
261,647,51,113151.27566181263,4,0,1,74495.13131974408,2,0
262,394,46,191278.15697189432,1,1,1,129539.34136643664,5,0
263,475,22,178335.11309056001,4,0,1,144954.9705282391,1,0
264,806,62,233553.67534314582,1,0,0,149310.28771145025,4,0
265,399,60,146652.46147818922,2,0,0,102583.00357423244,2,0
266,339,55,174315.1990902448,2,1,0,27814.148345020265,7,0
267,493,44,74937.45251054704,1,1,0,88667.66645230797,8,0
268,566,45,216601.64937960324,4,1,1,49036.3529567575,2,0
269,330,23,208663.47946528377,3,0,0,79542.04758786854,1,0
270,646,72,233448.326663317,4,1,0,72649.95608261359,9,0
271,456,51,63958.41369931118,4,0,0,115672.21053883813,8,0
272,594,23,90899.45141591477,1,1,0,147833.72836699168,3,0
273,303,50,87248.17056261838,4,1,1,109353.6522325244,6,0
274,820,32,173772.66089624626,1,0,0,139202.1598459084,1,0
275,594,31,1828.779443144579,2,1,0,107518.65192680214,4,0
276,309,59,152595.79283148792,2,1,1,64769.3716057021,4,0
277,548,48,227035.41797290856,3,1,0,143490.40107641582,8,0
278,497,34,199481.11917495623,2,0,1,85365.04024391936,2,0
279,469,21,67776.99630009668,1,0,1,71873.0949025393,1,1
280,488,87,240895.39451974502,3,1,0,59509.44059296877,7,0
281,649,61,11774.608577978352,1,0,1,129759.9510706964,8,1
282,626,63,136013.7157393633,1,1,0,102642.88611451724,6,0
283,404,38,33873.72652691928,4,1,1,56047.82387176102,3,0
284,821,73,60149.87037366676,2,0,0,70114.42824543442,8,0
285,683,32,174891.58579319317,1,0,0,38454.8122955973,8,0
286,744,34,131227.12740717325,1,0,1,42894.09579171617,8,0
287,688,25,183767.41424336075,2,1,1,82904.98736360748,1,0
288,545,89,82468.15068107299,1,1,0,71761.46959399921,2,1
289,501,60,127460.85271809108,3,1,1,133835.82473797852,2,0
290,409,88,170166.49262047987,1,0,0,146843.38876638113,9,1
291,306,54,19172.004365690693,4,0,1,89428.38268658376,9,0
292,513,61,8495.400827918831,4,1,1,114030.40020611243,7,0
293,698,19,249134.3322063079,3,0,0,140547.69871341053,4,0
294,551,36,44613.70660956579,4,1,1,97076.89807921807,2,0
295,821,26,110382.25768085352,4,0,0,21040.726307198154,2,0
296,408,77,176513.57908940647,4,0,0,145859.4890020409,8,0
297,567,48,123842.73870834045,1,1,1,30439.101785343166,2,0
298,581,32,138896.872518624,4,1,0,136052.74807728903,9,0
299,688,75,114731.51805281578,4,1,1,34768.93830150193,4,0
300,788,21,224784.84268050137,4,1,1,117171.34866665248,5,0
301,394,33,141378.11791645075,1,1,1,87024.13457955995,3,0
302,453,49,128513.6646941798,3,0,0,149756.96479513653,4,0
303,792,43,148617.8124970146,2,0,1,119370.00099600347,6,0
304,487,39,174524.158979959,3,0,0,22357.848946333215,4,0
305,392,44,144200.26499105437,4,0,0,62420.35620217823,7,0
306,685,47,3540.2008316372526,3,0,1,33715.73677783419,6,0
307,798,24,103076.16193866232,1,1,0,25177.74602289206,1,0
308,600,59,162283.8619656742,4,0,0,98518.48237808011,9,0
309,627,76,232980.27490995268,3,0,1,50276.70706754262,8,0
310,684,57,91984.63920998368,2,0,1,126221.77458720475,4,0
311,471,18,110290.18548991528,1,1,1,59232.497178302045,6,0
312,332,81,181917.84914397736,2,0,1,138399.70846905722,5,0
313,799,34,45715.684680423416,1,1,0,114334.56706268378,8,0
314,420,24,145239.1361888484,1,0,1,134934.38896106672,4,0
315,622,84,221869.27079806133,3,0,0,57558.74628333618,8,0
316,813,47,225622.86861625355,3,1,0,99850.92041672,2,0
317,366,83,33048.37527336166,2,0,1,21860.535414804755,7,1
318,734,55,147097.80308513364,1,0,1,33237.8588221129,8,0
319,434,86,24384.735496282978,4,0,0,76275.65093830413,4,1
320,627,34,56404.0926794355,1,1,1,37842.020606160084,1,0
321,736,63,29940.39025679479,3,0,0,141460.68220914912,8,0
322,369,80,78203.64701404545,3,0,1,42346.015081826816,2,1
323,740,54,237784.94401446776,4,1,1,59189.37068281364,7,0
324,753,44,50767.1193159544,4,1,1,118943.70084611996,6,0
325,302,23,210163.0148725868,2,1,1,37294.6630543334,9,0
326,477,57,175250.21672132757,1,1,1,141099.79291136703,1,1
327,535,32,167725.0769612987,1,1,0,54850.477398712166,7,0
328,369,59,11390.120761524347,2,1,1,29899.79922723504,9,0
329,819,80,60530.67365332901,4,1,0,21724.823619187046,5,0
330,600,71,244974.58981065953,2,0,0,107883.57329842771,3,0
331,453,22,81161.37570167733,3,0,0,38963.66945173796,3,0
332,396,76,232828.19287263358,2,0,0,38424.8385195974,4,0
333,521,72,83219.37887375553,4,0,1,104618.69615709105,8,0
334,671,38,15293.488279001816,4,0,0,55137.33735267039,1,0
335,832,62,2572.2920034678964,2,0,0,80934.63287648614,4,0
336,396,54,96257.38221324787,4,0,1,149512.24650808214,8,0
337,687,79,220574.38974475084,1,1,1,45100.90076440238,1,1
338,305,53,60163.76050708758,3,0,1,114710.75991124903,2,0
339,638,50,50850.17391443985,3,1,1,68674.93686998231,7,0
340,751,70,102518.79939727951,4,1,0,149878.64530991338,7,0
341,412,49,43159.40938904667,1,1,1,60068.39603268852,4,1
342,775,76,144231.7781527265,4,1,1,28445.618839794402,6,0
343,494,45,223499.09919859192,4,0,1,22048.314111863932,4,0
344,849,31,221986.48826215282,4,0,1,31081.800776531836,2,0
345,309,72,215831.68505734066,1,1,1,121132.04193518679,7,1
346,418,75,92870.87530385135,4,1,0,29907.295100195057,5,0
347,379,85,165220.02141223685,1,1,1,73216.14919559621,4,1
348,309,82,104987.85528340879,4,1,0,115106.04897441347,5,0
349,607,47,45630.0509720014,4,0,0,115562.50789222636,9,0
350,635,50,210828.603180466,3,1,1,80678.22980224958,4,0
351,453,79,172621.62857320314,2,1,1,20930.030217464056,8,0
352,537,82,157263.71408322657,2,1,1,140888.09851057362,2,0
353,336,51,249617.2363831176,3,1,0,57813.71979264537,1,0
354,683,79,90996.0074289779,2,0,1,125795.82239975594,4,0
355,787,76,6721.38608738218,2,1,1,130006.41357819209,6,0
356,663,53,158012.81417918063,3,0,1,34167.56774969145,7,0
357,334,28,47277.70636766338,1,1,0,34877.91629322009,5,1
358,618,84,45211.98167545457,4,0,1,45744.44293773439,6,0
359,482,43,89071.07452845392,1,1,1,108862.76700422747,1,1
360,711,78,48943.5747630752,1,1,0,89009.32633852656,8,1
361,710,79,17790.034692604928,2,1,1,120950.62897873987,8,0
362,579,68,66648.0234208085,2,1,0,57652.831231702774,4,0
363,417,62,53053.20312342138,4,1,0,145829.35430561966,4,0
364,649,67,2615.8412758651716,3,1,0,100252.95060993129,2,1
365,553,68,88805.39476054793,1,0,1,149284.7923834643,4,0
366,538,26,95403.17151025249,4,1,0,76952.28685841749,4,0
367,772,28,236996.4812262063,3,0,1,28557.274554343436,3,0
368,593,23,37879.2316015423,3,0,1,107138.00254356048,1,0
369,469,84,27260.673220597746,2,1,1,69132.53667165819,6,1
370,782,79,61588.96213091178,1,0,1,29782.446573814646,1,1
371,656,30,229314.44374785476,3,1,0,140913.35961562756,7,0
372,745,37,184512.75832095853,2,1,0,102686.23334250606,2,0
373,735,43,134397.85008817262,2,1,0,38906.810667339945,9,0
374,372,37,1669.0677966743617,1,1,1,97090.80615738282,9,1
375,314,84,1005.3596077535809,4,1,1,131662.39431074884,4,1
376,735,33,163134.73543110234,4,0,0,97243.05004450178,6,0
377,636,37,18051.227239700318,4,0,1,141168.65127653844,9,0
378,451,64,108099.8372261163,4,1,1,79408.54271546801,9,0
379,611,58,55808.903854098455,1,0,0,26653.780187404558,5,0
380,628,26,87764.8197283648,4,1,0,71441.21752023714,2,0
381,476,28,6892.863693565343,1,0,1,93365.93000002856,5,1
382,649,38,22429.9886714025,3,1,0,37706.41436377412,5,0
383,693,59,82316.13981664357,3,0,0,72745.80724728809,8,0
384,478,77,211497.8856618928,3,0,1,147252.20782669203,9,0
385,720,37,149643.18221490146,3,1,0,81655.79038962988,6,0
386,364,71,199314.5477819255,2,0,0,136815.68943486817,3,0
387,403,82,126871.87457574692,4,1,1,108403.83496811581,7,0
388,465,35,170417.58986249787,1,0,1,71094.33287092269,4,0
389,767,44,236389.41420876957,4,0,1,21187.724370479627,4,0
390,594,47,56342.87745231839,1,0,1,85827.87330672378,7,0
391,408,22,172296.7026213233,3,0,0,129597.37829464828,8,0
392,611,31,83928.00445318202,4,1,0,110882.09808131421,4,0
393,620,44,129863.9443771864,2,0,1,148031.20628055575,5,0
394,667,45,211949.52640272686,4,0,0,33440.910636574095,8,0
395,425,66,90147.05376994173,3,0,0,64393.590454298195,2,1
396,745,46,178418.5179432992,3,1,0,87874.53038914173,7,0
397,498,47,74806.50305164407,3,1,0,107004.84881501805,1,0
398,844,69,204144.680911221,2,1,1,79622.66933554466,8,0
399,382,18,115758.21401867953,4,1,1,130226.13026664314,1,0
400,723,22,60569.594085650075,4,0,1,80906.82761790075,6,0
401,318,40,181753.7498177051,3,1,1,43649.15539582746,2,0
402,511,25,222308.09104842765,1,1,1,68320.88716078538,8,0
403,513,77,245469.49172684128,1,1,0,39748.19422266855,9,0
404,793,74,32287.65978630152,1,0,0,102442.15496494716,3,1
405,325,52,166344.67462586457,2,0,0,43933.09258478152,6,0
406,695,71,31945.76810080782,4,0,1,92419.05366193545,7,0
407,791,60,63522.964724232246,3,1,0,147999.57024019645,1,0
408,514,47,198099.0434263654,3,1,1,55863.67113485528,2,0
409,782,60,186564.6503365704,3,1,1,86717.1151281743,4,0
410,596,75,231821.95927976622,4,0,0,61325.62613650371,5,0
411,541,81,103650.73692249476,4,0,0,140747.18600944825,3,0
412,388,32,37087.11802757622,3,1,0,78441.08426774564,5,0
413,552,59,88914.02617534211,1,1,0,78688.32289373882,1,0
414,394,82,177381.92966720855,2,1,0,140747.2643698767,4,0
415,515,87,105978.75680046364,2,0,0,22682.76297209984,8,0
416,459,80,210197.469673595,4,0,1,66246.27081729367,2,1
417,508,70,151718.91326163613,4,1,1,64088.613245479,2,0
418,827,33,32000.05575640144,2,0,0,76756.78286857757,8,0
419,312,37,25516.87084831816,2,1,1,145597.07586156778,4,0
420,549,33,189240.3998238618,1,1,1,141308.3168461323,4,0
421,827,88,31335.476073168804,1,1,0,141056.84644979096,1,1
422,844,27,121549.6470396975,2,1,0,35941.37397456806,7,0
423,465,78,198755.29110106835,4,1,0,52971.52108045777,4,0
424,629,35,209030.16455391922,3,1,0,32131.00226443194,3,0
425,488,25,109742.22245060885,2,0,0,41059.764290948544,1,0
426,767,74,240473.4497151496,2,1,0,139701.22004778948,1,0
427,831,37,133930.65919580805,3,1,0,134558.1029651931,4,0
428,485,84,241783.83283174882,3,0,1,113610.63387966155,2,1
429,608,76,127725.34200758037,3,1,1,67277.17978696505,8,0
430,646,56,132655.93502513086,1,1,1,86431.79676787592,8,0
431,310,76,38940.182159370066,4,1,0,128512.40185199311,4,1
432,335,88,62490.204044397535,4,0,0,122064.40725278955,6,0
433,379,60,47352.552806062515,2,1,0,64970.3558677976,6,0
434,661,37,26644.148942157884,3,0,0,130812.4755600361,8,0
435,545,24,157676.401474064,1,1,1,64250.02793033408,7,0
